company_slug,job_id,job_title,personal_note,jd,jd_file
1_club,,SDE-I (Backend),"The role at 1% Club emphasizes ownership and product obsession, which aligns with my experience in developing a real-time multiplayer card game backend in Go, focusing on maintaining and resuming game states efficiently.",,jds/1% Club.txt
appinventiv,,Software Engineer,"Developing high-quality applications requires scalable code, which aligns with my experience in designing and implementing testable and scalable code at HiLabs.",,jds/Appinventiv.txt
apple,200677836,"Software Engineer - Java, Spring Boot and Microservices","Apple develops highly reliable, scalable, and maintainable enterprise applications that can match significant volumes. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs using Spring Boot and PostgreSQL, which involved designing scalable solutions for data isolation.",,jds/apple.txt
geidea,4462794898,Software Engineer,"Developing and maintaining scalable backend services and REST APIs using Java and Spring Boot is a core responsibility of the Software Engineer role at Geidea. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs using Spring Boot, demonstrating my ability to design efficient data models for scalable applications.",,jds/geidea.txt
ascendion,50340680,Java Backend Engineer,"The role requires designing and implementing high-quality Java applications using Spring Boot and Microservices. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs using Spring Boot and PostgreSQL, which involved optimizing data isolation.",,jds/Ascendion.txt
ascendion,50341085,Java Backend Engineer,"The role involves designing, developing, and implementing high-quality Java applications using Spring Boot and Microservices architecture. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs using Spring Boot and PostgreSQL, which enhanced data isolation.",,jds/Ascendion.txt
optum,2380965,,"The role requires solid engineering skills for OCDC Hardening on Azure and E2E engineering delivery. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs using Spring Boot and Hibernate, which aligns with the strong Java tech stack knowledge required for this position.",,jds/optum.txt
bt_group,61954,,,,
citi,26984162,java developer,,,
siemens,520136,Software Engineer Advanced,,,
dexcom,JR120521,Software Development Engineer 2,,,
syfe,,Backend Engineer (SDE II) - India,"Syfe is fundamentally changing how people build wealth through a holistic approach to managing money. I engineered a schema-per-tenant multi-tenancy architecture at HiLabs, which involved resolving tenant schemas for data isolation, aligning with the need for robust backend systems.",,jds/syfe.txt
gitlab,8775507002,Intermediate Backend Engineer,,,jds/gitlab.txt
uipath,https://jobs.ashbyhq.com/uipath/a6ed0fbe-3505-46ab-9ec5-469d8356f8d8,Software Engineer 1,"The role involves building robust, scalable, and high-performance systems for the Data Fabric platform team. I developed an AI-powered rule management platform that enabled business rules to be created and executed from natural language, which aligns with the focus on AI-driven solutions.",,jds/uipath.txt
paypay,4024283006,Backend Engineer,,,
databricks,,Full Stack Developer (AI Agents),,,
gokwik,,Software Development Engineer - II,"The role requires experience designing and scaling event-driven architectures using Kafka or similar messaging systems. I designed and implemented a scalable asynchronous audit logging framework at HiLabs using Kafka, ensuring reliable event delivery while maintaining low request latency.",,jds/GoKwik.txt
ukg,SOFTW019676,Software Development Engineer,UKG is focused on developing and maintaining automated tests and engineering utilities. I built an AI-powered rule management platform that involved creating reliable and maintainable code for automation solutions.,,jds/UKG.txt
mastercard,411006,Software Engineer - Java Spring Boot,,,
sixt,https://jobs.smartrecruiters.com/SIXT/744000148143553-software-development-engineer-ii-java-backend-?trid=2d92f286-613b-4daf-9dfa-6340ffbecf73,Software Development Engineer II (Java Backend),,"YOUR ROLE AT SIXT

You will design and build robust backend services in Java that power personalized, data-driven customer communication workflows
You will contribute to the design and evolution of distributed, event-driven systems that operate at campaign level and at global scale
You will develop and maintain shared libraries and internal tooling that improve reliability and delivery speed across the CCOM engineering team
You will collaborate closely with product, marketing, and engineering stakeholders to translate complex communication workflows into scalable technical solutions
You will actively integrate AI coding tools such as Claude and Cursor into your daily development workflow, helping to embed AI-assisted engineering as a standard practice within the team

Your Skills Matter

You hold a B.Tech, B.E, or Master's Degree in Computer Science or a related discipline
You bring 3–5 years of hands-on backend engineering experience, ideally in cloud-native or distributed systems environments where scalability and reliability were non-negotiable
You have solid, production-level experience with Java and Springboot, and are comfortable working within a modern microservices architecture
You have practical exposure to designing or contributing to distributed systems and understand the fundamentals of building services that are resilient and maintainable at scale
You are familiar with event-driven patterns and message brokers such as Apache Kafka, and understand how pub-sub models support loosely coupled system design
You actively use AI coding assistants such as Claude or Cursor to accelerate your development, while applying sound engineering judgment to validate, review, and own the output",
